Index,vid,Is Greyscale
16421,ia-batch5/youtube-T9aRA5RZAq8,True
16460,ia-batch5/youtube-u4n_kfmF2jk,True
16493,ia-batch5/youtube-7rYtt_cJkWg,True
16517,ia-batch5/youtube-aUTM5R1_eeI,True
16627,ia-batch5/youtube-MGlkqDU4hBI,True
16645,ia-batch5/youtube-lMReJJTs460,True
16735,ia-batch6/youtube-XTeL4lMDZ2U,True
16745,ia-batch6/youtube-Fkyq106eeJ0,True
16801,ia-batch6/youtube-Gt1eXWQbmWA,True
17053,ia-batch6/MemoriaDeCaranguejo,True
17055,ia-batch6/SoundieFrankParisHisMarionettes,True
17127,ia-batch6/youtube-3vtsbU-WtX4,True
17172,ia-batch6/THEDANGERGIRL1916GloriaSwansonBobbyVernon,True
17192,ia-batch6/youtube-foMVeph2ggQ,True
17310,ia-batch7/youtube-gNTZKkMgVdU,True
17370,ia-batch7/youtube-GaJi_d860KE,True
17426,ia-batch7/28MVI00272,True
17521,ia-batch7/youtube-cd7I0eUKw7U,True
17625,ia-batch7/youtube-BSzDS6COYVU,True
17793,ia-batch7/sdys1125578,True
17801,ia-batch7/cactvma-Directions_to_Your_Room_TRAILER,True
17851,ia-batch7/youtube-v1tkNu7zuFU,True
17934,ia-batch8/youtube-wWQirQUJgAw,True
18139,ia-batch8/27MVI00271,True
18242,ia-batch8/ADayInTheHayfields1904,True
18440,ia-batch8/youtube-YXjaRF8gv1c,True
18577,ia-batch9/PreviewABeastAtBay,True
18695,ia-batch9/youtube-HTlc6WvUn1I,True
18772,ia-batch9/youtube-EhweuFY3CUo,True
18872,ia-batch9/BSOHEPISODE294A,True
18996,ia-batch9/youtube-QEA4uLukdqI,True
19154,ia-batch10/youtube-COBrODvPOyo,True
19298,ia-batch10/1936MARYELLENBUTEPARABOLA,True
19349,ia-batch10/youtube-6PPcZDEpEI8,True
19439,ia-batch10/youtube-VGWpP1xx8nk,True
19496,ia-batch10/TheGallopinGaucho,True
19513,ia-batch10/youtube-xDaReF1f9vs,True
19565,ia-batch10/50-50com_oldschool_skatejam_2001,True
19618,ia-batch10/ClassicCartoons,True
19698,ia-batch11/75062_14157030_s01_Hurdle_Jumping_by_Trained_Dogs,True
19790,ia-batch11/witm090065,True
19817,ia-batch11/youtube-FGT6xOaY-fc,True
19849,ia-batch11/ws46fg45_201704,True
19936,ia-batch11/c50ic4,True
19966,ia-batch11/youtube-EZ9w_3ieY3I,True
20088,ia-batch11/youtube-aqbGGBKr2pQ,True
20094,ia-batch11/youtube-p7bO3JcZFEw,True
20172,ia-batch11/Mono_-_Rubbing_a_poem_by_Stephen_Dunn_read_by_Steve_Dunning,True
20207,ia-batch11/tp510633,True
20417,ia-batch12/CartoonCluster105,True
20464,ia-batch12/AaronDubrowUSHISTORYUNIT2PART2ROUGHCUT,True
20483,ia-batch12/DIGitMediaArtsExposition_21,True
20544,ia-batch12/1936SantaFeBound,True
20607,ia-batch12/youtube-8XGizxVg-p4,True
20702,ia-batch12/youtube-bRzA329Z5Fk,True
20720,ia-batch12/70624ADayWithTheSeminolesMos,True
20772,ia-batch12/MiezarumonosGbBatmanIn1006.42,True
20774,ia-batch12/youtube-ynKu-Yuhbt0,True
21040,ia-batch13/youtube-C0NZObyv45I,True
21043,ia-batch13/ToonFair_167,True
21130,ia-batch13/Mono_-_Before_the_Sky_Darkens_a_poem_by_Stephen_Dunn_read_by_Steve_Dunning,True
21167,ia-batch13/TF-14,True
21177,ia-batch13/youtube-Os6snXW2ubQ,True
21202,ia-batch13/youtube-o7E_EbBWDWY,True
21269,ia-batch13/youtube-EySUzeJg-Zs,True
21296,ia-batch13/28531_1411112332_s01_Hoe_men_filmster_wordt,True
21332,ia-batch13/youtube-fIz7ckxYAFE,True
21340,ia-batch13/youtube-go1BQcaad7k,True
21354,ia-batch13/78034WWIINews,True
21671,ia-batch14/youtube-wQ8NQyk-Hpw,True
21674,ia-batch14/cactvma-Bridgeside_Bars_10_-_Decoy,True
21686,ia-batch14/youtube-S4QhFiavEUs,True
21830,ia-batch14/youtube-jCEpjRXvAno,True
21884,ia-batch14/AndysAnimalAlphabet,True
21941,ia-batch14/youtube-E9dv4Ziqmq0,True
21953,ia-batch14/youtube-XkXZsDUmZLE,True
21977,ia-batch14/4SmokeAtmosphereHdFreeStockFootageDigital.meals,True
22098,ia-batch14/youtube-XndKGb8bB7k,True
22125,ia-batch14/vimeo-26948527,True
22208,ia-batch15/youtube-SrBerR9np9M,True
22386,ia-batch15/youtube-GFMcXXe89ak,True
22422,ia-batch15/FB-01,True
22462,ia-batch15/the_support_640_r1,True
22494,ia-batch15/SoundieGingerHarmonTicaTiTicaTa,True
22513,ia-batch15/Therevuecreative-PositionYourselfForSuccess131-2,True
22531,ia-batch15/youtube-Ph2Js2rPhV4,True
22587,ia-batch15/nctv-Night_of_the_Living_Dead,True
22606,ia-batch15/CartoonFavorites_125,True
22842,ia-batch16/InsainmentMix,True
22946,ia-batch16/GbOperationCIn1105.57ByVentuz,True
23059,ia-batch16/LifeofanAmericanFiremanVideoEssay,True
23139,ia-batch16/grtvmiv-Mandolin_Orange_-_House_of_Stone,True
23170,ia-batch16/19011902MassiveCongregationsLeavingChurchEnglandspeedCorrectedWAddedSound_201808,True
23253,ia-batch16/Flickr-4981563895,True
23312,ia-batch16/ClassicToonTheater5,True
24386,ia-batch18/kodakSalesTrainingConference,True
24443,ia-batch18/KikoTheKangarooDangerOnIceakaTheHayRide8mm_20180826,True
24589,ia-batch18/htm1950654,True
24638,ia-batch19/hismajestyincommand1935,True
24916,ia-batch19/02CheatonMe,True
25066,ia-batch19/GopherCG-LaplacianBlendIError678,True
25121,ia-batch19/am-Tim_Kennedy_-_Medicine_Man,True
25155,ia-batch19/C.L.A.S.S._3_21_16,True
25366,ia-batch20/youtube-FhLb2v-x_Lo,True
25550,ia-batch20/youtube-RuJ6aaBNTJ8,True
25675,ia-batch20/youtube-9prZvpCRyW0,True
25744,ia-batch20/McAllen_State_of_the_City_2011_-_Scott_Crane,True
26180,ia-batch21/youtube-Ugv8Yvv1ulg,True
26233,ia-batch21/vimeo-31173808,True
26375,ia-batch21/vimeo-119720349,True
26596,ia-batch22/youtube-1lOBwKz6yfE,True
26687,ia-batch22/youtube-LacHVggZXv8,True
26758,ia-batch22/NazisCrushPoland,True
26896,ia-batch22/youtube-rOqvDytojpU,True
26981,ia-batch22/youtube-Y__LuZEPkbk,True
27041,ia-batch22/youtube-asEgQZhShLk,True
27052,ia-batch22/Mono_-_Poems_by_Jack_Gilbert_and_B.H._Fairchild,True
27183,ia-batch23/youtube-RwbkhDsRMHg,True
27222,ia-batch23/Sega_Mega-CD_Longplay_078_Prize_Fighter,True
27292,ia-batch23/youtube-wGXyNOcv3Xk,True
27307,ia-batch23/ToonClassics_93,True
27373,ia-batch23/youtube-krpt2QD306I,True
27436,ia-batch23/youtube-2ETGUcSMDKg,True
27583,ia-batch23/youtube-1IdTVcpBbRk,True
27625,ia-batch23/The_Undersea_Kingdom_Chapter_3_-_Presented_by_North_Metro_TV_and_DaVinci_Academy,True
27646,ia-batch23/youtube-CYUKvzDJTJw,True
27747,ia-batch24/Mono_-_Poems_by_Jack_Gilbert_and_B.H._Fairchild,True
27794,ia-batch24/70624ADayWithTheSeminolesMos,True
27802,ia-batch24/TF-14,True
27821,ia-batch24/nppany-2019_1_23_New_Paltz_Village_Board,True
27851,ia-batch24/FB-01,True
27867,ia-batch24/Mono_-_Rubbing_a_poem_by_Stephen_Dunn_read_by_Steve_Dunning,True
27925,ia-batch24/FightingBlood_201401,True
27934,ia-batch24/Gavin_drawing,True
27937,ia-batch24/Mono_-_Before_the_Sky_Darkens_a_poem_by_Stephen_Dunn_read_by_Steve_Dunning,True
27947,ia-batch24/GopherCG-LaplacianBlendIError678,True
27960,ia-batch24/ANATURALBORNGAMBLER1916BertWilliams,True
